Date,Td,Tm,Ty,"Qmax,m","Qmean,m","Qmin,m","Qmax,y","Qmean,y","Qmin,y",Q
22.08.2011,22,8,2011,22.4,11.03,9.37,476,68.57,9.37,17.9
23.08.2011,23,8,2011,22.4,11.03,9.37,476,68.57,9.37,13.6
24.08.2011,24,8,2011,22.4,11.03,9.37,476,68.57,9.37,9.37
25.08.2011,25,8,2011,22.4,11.03,9.37,476,68.57,9.37,20.1
26.08.2011,26,8,2011,22.4,11.03,9.37,476,68.57,9.37,14.7
27.08.2011,27,8,2011,22.4,11.03,9.37,476,68.57,9.37,14.1
28.08.2011,28,8,2011,22.4,11.03,9.37,476,68.57,9.37,15.3
29.08.2011,29,8,2011,22.4,11.03,9.37,476,68.57,9.37,15
30.08.2011,30,8,2011,22.4,11.03,9.37,476,68.57,9.37,15.7
31.08.2011,31,8,2011,22.4,11.03,9.37,476,68.57,9.37,15
1.09.2011,1,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.1
2.09.2011,2,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.1
3.09.2011,3,9,2011,17.6,11.06,9.7,476,68.57,9.37,15.3
4.09.2011,4,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.7
5.09.2011,5,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.2
6.09.2011,6,9,2011,17.6,11.06,9.7,476,68.57,9.37,9.7
7.09.2011,7,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.7
8.09.2011,8,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.7
9.09.2011,9,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.7
10.09.2011,10,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.1
11.09.2011,11,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.2
12.09.2011,12,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.2
13.09.2011,13,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.5
14.09.2011,14,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.5
15.09.2011,15,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.8
16.09.2011,16,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.8
17.09.2011,17,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.1
18.09.2011,18,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.8
19.09.2011,19,9,2011,17.6,11.06,9.7,476,68.57,9.37,13.8
20.09.2011,20,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.1
21.09.2011,21,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.1
22.09.2011,22,9,2011,17.6,11.06,9.7,476,68.57,9.37,14.4
23.09.2011,23,9,2011,17.6,11.06,9.7,476,68.57,9.37,15.3
